Site ID,M36/0473
Site Name,M36/0473
Site ID,SampleID,Collection Date,Measurement,Value,Units
"M36/0473","148923202","15-Oct 2015 09:55am","Iron, Dissolved","<0.020","mg/L"
"M36/0473","148923202","15-Oct 2015 09:55am","Magnesium, Dissolved","3.500","mg/L"
"M36/0473","148923202","15-Oct 2015 09:55am","Manganese, Dissolved","<0.0005","mg/L"
"M36/0473","148923202","15-Oct 2015 09:55am","Nitrate Nitrogen","0.510","mg/L"
"M36/0473","148923202","15-Oct 2015 09:55am","pH","7.8",""
"M36/0473","148923202","15-Oct 2015 09:55am","pH (Field)","7.39",""
"M36/0473","148923202","15-Oct 2015 09:55am","Potassium, Dissolved","0.890","mg/L"
"M36/0473","148923202","15-Oct 2015 09:55am","Silica, Reactive","19.300","mg/L  as SiO2"
"M36/0473","148923202","15-Oct 2015 09:55am","Sodium, Dissolved","8.600","mg/L"
"M36/0473","148923202","15-Oct 2015 09:55am","Sulphate","2.400","mg/L"
"M36/0473","148923202","15-Oct 2015 09:55am","Sum of anions","1.290","meq/L"
"M36/0473","148923202","15-Oct 2015 09:55am","Sum of cations","1.280","meq/L"
"M36/0473","148923202","15-Oct 2015 09:55am","Total Coliforms","<1.00","number/100mL"
"M36/0473","148923202","15-Oct 2015 09:55am","Water Temperature (Field)","12.7","C"
"M36/0473","134169705","21-Oct 2014 14:00pm","Alkalinity, Total","54.0","g/m3 as CaCO3"
"M36/0473","134169705","21-Oct 2014 14:00pm","Ammoniacal Nitrogen","<0.010","mg/L"
"M36/0473","134169705","21-Oct 2014 14:00pm","Bicarbonate","66.000","mg/L  at 25°C"
"M36/0473","134169705","21-Oct 2014 14:00pm","Calcium, Dissolved","12.100","mg/L"
"M36/0473","134169705","21-Oct 2014 14:00pm","Chloride","5.700","mg/L"
"M36/0473","134169705","21-Oct 2014 14:00pm","Conductivity","12.7","mS/m"
"M36/0473","134169705","21-Oct 2014 14:00pm","Conductivity (Field)","12.70","mS/m"
"M36/0473","134169705","21-Oct 2014 14:00pm","Difference in Ion Balance","0.180","%"
"M36/0473","134169705","21-Oct 2014 14:00pm","Dissolved Oxygen","5.700","mg/L"
"M36/0473","134169705","21-Oct 2014 14:00pm","Dissolved Oxygen Saturation","55.000","%"
"M36/0473","134169705","21-Oct 2014 14:00pm","Dissolved Reactive Phosphorus","0.0135","mg/L"
"M36/0473","134169705","21-Oct 2014 14:00pm","E. coli","<1","MPN/100mL"
"M36/0473","134169705","21-Oct 2014 14:00pm","Hardness, Total","44.000","g/m3 as CaCO3"
"M36/0473","134169705","21-Oct 2014 14:00pm","Iron, Dissolved","<0.020","mg/L"
"M36/0473","134169705","21-Oct 2014 14:00pm","Magnesium, Dissolved","3.400","mg/L"
"M36/0473","134169705","21-Oct 2014 14:00pm","Manganese, Dissolved","<0.0005","mg/L"
"M36/0473","134169705","21-Oct 2014 14:00pm","Nitrate Nitrogen","0.520","mg/L"
"M36/0473","134169705","21-Oct 2014 14:00pm","pH","7.7",""
"M36/0473","134169705","21-Oct 2014 14:00pm","pH (Field)","7.50",""
"M36/0473","134169705","21-Oct 2014 14:00pm","Potassium, Dissolved","0.870","mg/L"
"M36/0473","134169705","21-Oct 2014 14:00pm","Silica, Reactive","19.800","mg/L  as SiO2"
"M36/0473","134169705","21-Oct 2014 14:00pm","Sodium, Dissolved","10.200","mg/L"
